keyword,cluster,search_volume,seo_difficulty,paid_difficulty,cpc_eur,competition,search_intent,trend_note,ubersuggest_tool,retrieval_date,intended_owner
thuisbatterij,HEAD,60500,41,100,1.975,1.0,Commercial,seasonal peaks Mar/Nov ~90500; stable head term,keyword_overview,2026-08-03,calculator/brand head (NOT this article)
salderingsregeling,HEAD,18100,50,28,0.71,0.28,NOT RETURNED BY UBERSUGGEST MCP,seasonal; peaks near policy news (Dec 202412 49500),keyword_overview,2026-08-03,broad hub (NOT this article primary)
terugleverkosten,TERUGLEVERKOSTEN,6600,37,59,2.45,0.59,Informational,volatile; spike 202508 33100,keyword_overview,2026-08-03,2027 article (secondary/support)
is een thuisbatterij rendabel,OPBRENGST,880,25,80,2.33,0.8,Informational,rising; 202603 peak 1900,keyword_overview,2026-08-03,2027 article (secondary)
thuisbatterij na 2027,2027/SALDERING,140,15,99,2.01,0.99,Informational,rising sharply spring 2026 (202604 480; 202605 590),keyword_overview,2026-08-03,2027 article (PRIMARY candidate)
saldering 2027,2027/SALDERING,110,42,64,0.74,0.64,Informational,rising (202604 260),keyword_overview,2026-08-03,2027 article (secondary)
thuisbatterij dynamisch contract,HANDEL,110,14,86,4.05,0.86,Commercial,rising,keyword_overview,2026-08-03,dynamic-contract article (EXCLUDE - cannibalisation)
thuisbatterij onbalansmarkt,HANDEL,70,10,73,4.79,0.73,Commercial,stable,keyword_overview,2026-08-03,onbalans article (2027 article support only)
terugleverkosten voorkomen,TERUGLEVERKOSTEN,70,21,56,2.69,0.56,Informational,rising,keyword_overview,2026-08-03,2027 article (secondary)
thuisbatterij rendement,OPBRENGST,50,31,90,1.69,0.9,NOT RETURNED BY UBERSUGGEST MCP,stable,keyword_overview,2026-08-03,opbrengst article
hoeveel bespaar je met een thuisbatterij,OPBRENGST,30,31,84,1.905,0.84,NOT RETURNED BY UBERSUGGEST MCP,rising,keyword_overview,2026-08-03,2027 article (FAQ)
thuisbatterij 2027,2027/SALDERING,20,43,82,1.88,0.82,NOT RETURNED BY UBERSUGGEST MCP,low,keyword_overview,2026-08-03,2027 article
thuisbatterij rendabel 2027,2027/SALDERING,20,36,75,1.375,0.75,NOT RETURNED BY UBERSUGGEST MCP,rising,keyword_overview,2026-08-03,2027 article
opbrengst thuisbatterij,OPBRENGST,20,46,92,1.41,0.92,NOT RETURNED BY UBERSUGGEST MCP,flat,keyword_overview,2026-08-03,opbrengst article
salderingsregeling stopt 2027,2027/SALDERING,10,29,50,0.0,0.5,NOT RETURNED BY UBERSUGGEST MCP,flat,keyword_overview,2026-08-03,2027 article
terugleverkosten thuisbatterij,TERUGLEVERKOSTEN,10,35,54,1.475,0.54,NOT RETURNED BY UBERSUGGEST MCP,flat,keyword_overview,2026-08-03,2027 article
thuisbatterij zonder saldering,2027/SALDERING,0,12,1,0.0,0.0,NOT RETURNED BY UBERSUGGEST MCP,no volume data returned,keyword_overview,2026-08-03,2027 article
einde salderingsregeling thuisbatterij,2027/SALDERING,0,12,1,0.0,0.0,NOT RETURNED BY UBERSUGGEST MCP,no volume data returned,keyword_overview,2026-08-03,2027 article
thuisbatterij voordeel 2027,2027/SALDERING,0,12,1,0.0,0.0,NOT RETURNED BY UBERSUGGEST MCP,no volume data returned (production slug term),keyword_overview,2026-08-03,2027 article (slug)
thuisbatterij terugverdientijd 2027,OPBRENGST,0,12,1,0.0,0.0,NOT RETURNED BY UBERSUGGEST MCP,no volume data returned,keyword_overview,2026-08-03,payback article
zelfconsumptie thuisbatterij,ZELFCONSUMPTIE,0,17,1,0.0,0.0,NOT RETURNED BY UBERSUGGEST MCP,no volume data returned,keyword_overview,2026-08-03,self-consumption/2027 article
thuisbatterij eigen verbruik,ZELFCONSUMPTIE,0,12,1,0.0,0.0,NOT RETURNED BY UBERSUGGEST MCP,no volume data returned,keyword_overview,2026-08-03,self-consumption article
thuisbatterij kosten en opbrengst,OPBRENGST,0,4,1,0.0,0.0,NOT RETURNED BY UBERSUGGEST MCP,no volume data returned,keyword_overview,2026-08-03,opbrengst article
thuisbatterij verplicht 2027,2027/SALDERING,0,12,1,0.0,0.0,NOT RETURNED BY UBERSUGGEST MCP,no volume data returned,keyword_overview,2026-08-03,2027 article (FAQ)
