fact,exact_statement,source_authority,source_type,url,publication_date,retrieval_date,classification,confidence,notes
Saldering stopt 1 januari 2027,"""De salderingsregeling stopt vanaf 1 januari 2027.""",Rijksoverheid,Official government (primary),https://www.rijksoverheid.nl/themas/klimaat-milieu-en-natuur/energie-thuis/salderingsregeling,current,2026-08-03,LEGAL FACT,high,Full abolition from 2027-01-01
Vergoeding voor alle teruggeleverde stroom,"""Voor alle stroom die zonnepaneeleigenaren terugleveren, krijgen ze een vergoeding van de energieleverancier.""",Rijksoverheid,Official government (primary),https://www.rijksoverheid.nl/themas/klimaat-milieu-en-natuur/energie-thuis/salderingsregeling,current,2026-08-03,LEGAL FACT,high,Separate export compensation after 2027 (no annual netting)
Minimum terugleververgoeding tot 2030,"""Tot 2030 moet deze vergoeding minimaal 50% van het kale leveringstarief van stroom zijn.""",Rijksoverheid,Official government (primary),https://www.rijksoverheid.nl/themas/klimaat-milieu-en-natuur/energie-thuis/salderingsregeling,current,2026-08-03,LEGAL FACT,high,Minimum >=50% of kale leveringstarief until 2030; do not overstate net-of-cost compensation
Terugleverkosten mogen alleen werkelijke verwerkingskosten dekken,"""Dat mogen alleen kosten zijn die de energieleveranciers maken om de teruggeleverde stroom te verwerken.""",Rijksoverheid,Official government (primary),https://www.rijksoverheid.nl/themas/klimaat-milieu-en-natuur/energie-thuis/salderingsregeling,current,2026-08-03,LEGAL FACT,high,Feed-in costs limited to actual processing costs
Zelf opgewekte en direct gebruikte stroom belastingvrij,"""Over stroom die mensen zelf opwekken en direct gebruiken, betalen ze geen belastingen. Ook betalen ze hierover geen kosten aan de energieleverancier.""",Rijksoverheid,Official government (primary),https://www.rijksoverheid.nl/themas/klimaat-milieu-en-natuur/energie-thuis/salderingsregeling,current,2026-08-03,LEGAL FACT,high,Supports why zelfconsumptie is valuable
Terugleverkosten berekend over totale (bruto) teruglevering,"Terugleverkosten worden berekend over de totale teruggeleverde kWh (niet over een gesaldeerd saldo).",Consumentenbond,Consumer organisation,https://www.consumentenbond.nl/zonnepanelen/terugleverkosten,current,2026-08-03,MARKET FACT,high,Fee on GROSS export -> basis of V5.1 fee-avoidance result
ACM: onderzochte terugleverkosten niet verboden (8 mei 2024),"Titel: ""ACM: Onderzochte terugleverkosten voor zonnepaneelhouders niet verboden"" — de onderzochte tarieven zijn niet verboden.",ACM,Regulator (primary),https://www.acm.nl/nl/publicaties/acm-onderzochte-terugleverkosten-voor-zonnepaneelhouders-niet-verboden,2024-05-08,2026-08-03,LEGAL FACT,high,Scope: only the INVESTIGATED tariffs; not a blanket approval of all/future tariffs
ACM: terugleverkosten niet onredelijk; contracten moeilijk te vergelijken (17 dec 2025),"""De terugleverkosten die energieleveranciers in rekening brengen bij huishoudens met zonnepanelen zijn niet onredelijk"" en ""Leveranciers terugleverkosten op allerlei verschillende manieren doorberekenen ... waardoor het voor klanten vaak niet duidelijk is waar ze voor betalen""",ACM,Regulator (primary),https://www.acm.nl/nl/publicaties/acm-terugleverkosten-zonnestroom-niet-onredelijk-contracten-wel-moeilijk-te-vergelijken,2025-12-17,2026-08-03,LEGAL FACT,high,Not unreasonable vs supplier costs; contracts hard to compare; scope limited to investigated tariffs
ACM: modelcontract vanaf 1 jan 2026 verplicht per-kWh terugleverkosten,"""In het modelcontract per 1 januari 2026 ... schrijft de ACM voor dat energieleveranciers terugleverkosten altijd per kilowattuur teruggeleverde stroom moeten berekenen.""",ACM,Regulator (primary),https://www.acm.nl/nl/publicaties/acm-terugleverkosten-zonnestroom-niet-onredelijk-contracten-wel-moeilijk-te-vergelijken,2025-12-17,2026-08-03,LEGAL FACT,high,ACM supports uniform per-kWh presentation; modelcontract only (not every contract)
ACM onderzoeksrapport terugleverkosten,"Rapport: ""Onderzoek ACM naar terugleverkosten voor zonnestroom"" (ACM/UIT/656339).",ACM,Regulator report (primary),https://www.acm.nl/nl/publicaties/onderzoek-acm-naar-terugleverkosten-voor-zonnestroom,2025-12-17,2026-08-03,LEGAL FACT,high,Underlying investigation report
