claim_wording_dutch,article_section,value,unit,source_output,row_or_configuration,classification,approved_wording,prohibited_wording,source_sha_or_ref
"mediane totale verandering ongeveer €592 per jaar",Kort antwoord / Resultaten,592,EUR/jaar,corrected_headline_metrics.json,"12.6kWh PER_KWH_0.10 n=25 median of D-A","ENGINE RESULT (median total change, NOT a value)","'mediane totale verandering ~€592'","'batterijwaarde is €592'; '€592 = €405 + €202'",body_sha=72e48f32
"mediane batterijwaarde na 2027 ongeveer €499 per jaar",FAQ Q1,499,EUR/jaar,policy_fee_2x2_matrix.csv,"12.6kWh PER_KWH_0.10 n=25 median of D","ENGINE RESULT (post-2027 battery VALUE)","'mediane batterijwaarde na 2027 ~€499'","'€499 = verandering'",body_sha=72e48f32
"mediane zuivere beleidscomponent ongeveer €405",Kort antwoord / Zuiver effect / FAQ,405,EUR/jaar,corrected_headline_metrics.json,"12.6kWh NONE n=25 median of policy (C-A)","ENGINE RESULT (median policy component)","'mediane beleidscomponent ~€405 (€172–€760)'","'einde salderen levert €592'",body_sha=72e48f32
"mediane waarde vermeden terugleverkosten ongeveer €202",Vermeden terugleverkosten / FAQ,202,EUR/jaar,corrected_headline_metrics.json,"12.6kWh PER_KWH_0.10 n=25 median of fee","ENGINE RESULT + SCENARIO FEE (12.6kWh)","'mediaan ~€202 bij €0,10/kWh, 12,6 kWh'","'€196'(all-battery scope); 'terugleverkosten verdwijnen'",body_sha=72e48f32
"afzonderlijke medianen mogen niet worden opgeteld",Kort antwoord / Vermeden / FAQ Q3 / Conclusie,NA,NA,corrected_headline_metrics.json + calc,"median(sum)=592 != median(policy)405 + median(fee)202 = 607","DERIVED (statistics)","'afzonderlijke verdelingsmedianen; niet rechtstreeks optellen'","'totaal bestaat uit €405 + €202'",verified 607.18!=591.85
"representatief scenario: €389,79 + €202,06 + €0 = €591,85",Voorbeeldberekening,591.85,EUR/jaar,policy_fee_decomposition.csv + policy_fee_2x2_matrix.csv,"profile C3500_R2.00 12.6kWh PER_KWH_0.10 (nearest median total)","ENGINE RESULT (additive within €0.01)","'voor dit scenario tellen ze exact op'","'decompositie van de medianen'; 'landelijk gemiddelde'",additive_check=591.85
"batterijwaarde vóór 2027 mediaan −€117",Waarom zelfconsumptie / Zuiver effect,-117,EUR/jaar,policy_fee_2x2_matrix.csv,"12.6kWh NONE n=25 median of A","ENGINE RESULT","'mediaan −€117 (−€231…−€57), 12,6 kWh'","'iedere batterij −€117'",body_sha=72e48f32
"batterijwaarde ná 2027 (geen saldering) mediaan €297",Waarom zelfconsumptie / Zuiver effect,297,EUR/jaar,policy_fee_2x2_matrix.csv,"12.6kWh NONE n=25 median of C","ENGINE RESULT","'mediaan €297 (€97…€588), zonder terugleverkosten'","'gegarandeerd €297'",body_sha=72e48f32
"per-kWh 0,05/0,10/0,15 vermeden €101/€202/€303",Kostenstructuur telt,101;202;303,EUR/jaar,policy_fee_decomposition.csv,"12.6kWh per structure n=25 median","ENGINE RESULT (12.6kWh)","'mediaan 12,6 kWh-referentiebatterij'","'iedereen bespaart dit'",body_sha=72e48f32
"vast bedrag per maand vermeden €0",Kostenstructuur telt / FAQ,0,EUR/jaar,fee_structure_summary.csv,"FIXED_MONTHLY","ENGINE RESULT","'een batterij vermijdt een vast bedrag niet'","'batterij haalt alle terugleverkosten weg'",body_sha=72e48f32
