claim_wording_dutch,section,classification,source_output_or_authority,config_or_row_scope,wording_allowed,wording_prohibited,confidence,review_status
"Mediane totale verandering D-A = EUR592 (EUR248-EUR1145), 12.6kWh per-kWh EUR0.10, n=25",Kort antwoord / Resultaten,ENGINE RESULT,corrected_headline_metrics.json,"12.6kWh, PER_KWH_0.10, n=25 (median of totals)","'mediane totale verandering ~EUR592'","'EUR592 = EUR405 + EUR202'",high,verified reproduces V5
"Mediane zuivere beleidscomponent = EUR405 (EUR172-EUR760)",Kort antwoord / Zuiver effect,ENGINE RESULT,corrected_headline_metrics.json,"12.6kWh, NONE, n=25 (median of policy)","'mediane beleidscomponent ~EUR405'","'einde salderen levert EUR592'",high,verified
"Mediane waarde vermeden terugleverkosten = EUR202 (EUR76-EUR385)",Vermeden terugleverkosten,ENGINE RESULT + SCENARIO FEE,corrected_headline_metrics.json,"12.6kWh, PER_KWH_0.10, n=25 (median of fee)","'mediaan EUR202 bij EUR0.10/kWh, 12.6kWh'","'terugleverkosten verdwijnen'",high,verified
"Afzonderlijke medianen tellen NIET op tot de mediane totale verandering",Kort antwoord / Conclusie,DERIVED (statistics),corrected_headline_metrics.json + calc,"median(sum)=592 != median(policy)405 + median(fee)202 = 607","'afzonderlijke medianen; niet optelbaar; mediaan van som != som van medianen'","'totaal bestaat uit EUR405 plus EUR202'",high,verified (607.18 != 591.85)
"Mediane beleids-aandeel per huishouden ~66%, kosten-aandeel ~34%",Kort antwoord / Conclusie,DERIVED RESULT,policy_fee_decomposition.csv,"12.6kWh PER_KWH_0.10, per-profile share, denom>0, n=25","'mediaan ~66% beleid, ~34% kosten'","'altijd 66/34'",high,verified (66.3% / 33.7%)
"Representatief scenario C3500_R2.00: -EUR93 + EUR390 (beleid) + EUR202 (kosten) + EUR0 = EUR592 totale verandering",Voorbeeldberekening,ENGINE RESULT,policy_fee_decomposition.csv + policy_fee_2x2_matrix.csv,"profile C3500_R2.00, 12.6kWh, PER_KWH_0.10 (nearest median total)","'representatief scenario; componenten tellen exact op'","'decompositie van de medianen; landelijk gemiddelde'",high,verified additive within EUR0.01 (591.85)
"Batterijwaarde voor 2027 (A) mediaan -EUR117 (-EUR231..-EUR57)",Waarom zelfconsumptie meer waard / Zuiver effect,ENGINE RESULT,policy_fee_2x2_matrix.csv,"12.6kWh NONE, n=25 (A median)","'mediaan -EUR117, 12.6kWh'","'iedere batterij is -EUR117 waard'",high,verified (was -EUR114 all-battery: corrected to 12.6kWh scope)
"Batterijwaarde na 2027 zonder kosten (C) mediaan EUR297 (EUR97..EUR588)",Waarom zelfconsumptie meer waard / Zuiver effect,ENGINE RESULT,policy_fee_2x2_matrix.csv,"12.6kWh NONE, n=25 (C median)","'mediaan EUR297, 12.6kWh'","'gegarandeerd EUR297'",high,verified (was EUR288 all-battery: corrected to 12.6kWh scope)
"Batterijwaarde na 2027 met kosten (D) mediaan EUR499",metadata / voorbeeld,ENGINE RESULT,policy_fee_2x2_matrix.csv,"12.6kWh PER_KWH_0.10, n=25 (D median)","'mediaan EUR499 met kosten'","''",high,verified
"Interactie beleids- en kosteneffect exact EUR0 (alle 800 rijen)",Vermeden terugleverkosten,DERIVED,corrected_headline_metrics.json,interaction_effect_max_abs=0.0,"'interactie nul; per scenario optelbaar (alleen zelfconsumptie)'","'altijd optelbaar, ook bij handel; medianen optelbaar'",high,verified
