id,scenario,contract,ems,classificatie,jaarverbruik_kwh,pv_ratio,zonproductie_kwh,direct_verbruik_kwh,zon_overschot_kwh,opgeslagen_kwh,bruikbaar_kwh,omzettingsverlies_kwh,vermeden_inkoop_na2027_eur,gemiste_vergoeding_na2027_eur,vermeden_terugleverkosten_eur,terugleverkosten_eur_kwh,terugleververgoeding_scenario_eur_kwh,tarief_afname_eur_kwh,waarde_voor_2027_eur,waarde_na_2027_eur,incrementeel_2027_eur,bron_aannames
S1,"Weinig zon-overschot, veel dagverbruik",vast,nee,AFGELEID VAST-CONTRACTSCENARIO,3500,0.5,1750,875,875,875,788,88,197,61,70,0.08,0.0698,0.25055,48,206,158,"CBS juni 2026 (tarief); 50%-ondergrens x kaal (vergoeding, scenario); 220x8 kWh doorzet; 90% rendement; 30% direct"
S2,"Gemiddeld huishouden, beperkt overschot",vast,nee,AFGELEID VAST-CONTRACTSCENARIO,2650,0.8,2120,742,1378,1378,1240,138,311,96,110,0.08,0.0698,0.25055,76,325,249,"CBS juni 2026 (tarief); 50%-ondergrens x kaal (vergoeding, scenario); 220x8 kWh doorzet; 90% rendement; 30% direct"
S3,"Gemiddeld verbruik, veel zon-overschot",vast,nee,AFGELEID VAST-CONTRACTSCENARIO,3500,1.6,5600,1680,3920,1760,1584,176,397,123,141,0.08,0.0698,0.25055,97,415,318,"CBS juni 2026 (tarief); 50%-ondergrens x kaal (vergoeding, scenario); 220x8 kWh doorzet; 90% rendement; 30% direct"
S4,"Hoog verbruik, weinig gebruik overdag",vast,nee,AFGELEID VAST-CONTRACTSCENARIO,6500,1.0,6500,1300,5200,1760,1584,176,397,123,141,0.08,0.0698,0.25055,97,415,318,"CBS juni 2026 (tarief); 50%-ondergrens x kaal (vergoeding, scenario); 220x8 kWh doorzet; 90% rendement; 30% direct"
S5,"Veel zonproductie, weinig gebruik overdag",vast,nee,AFGELEID VAST-CONTRACTSCENARIO,3500,1.6,5600,1120,4480,1760,1584,176,397,123,141,0.08,0.0698,0.25055,97,415,318,"CBS juni 2026 (tarief); 50%-ondergrens x kaal (vergoeding, scenario); 220x8 kWh doorzet; 90% rendement; 30% direct"
S6,Vast contract met substantiele terugleverkosten,vast,nee,AFGELEID VAST-CONTRACTSCENARIO,4300,1.0,4300,1290,3010,1760,1584,176,397,123,211,0.12,0.0698,0.25055,167,485,318,"CBS juni 2026 (tarief); 50%-ondergrens x kaal (vergoeding, scenario); 220x8 kWh doorzet; 90% rendement; 30% direct"
S7,Vast contract met lage terugleverkosten,vast,nee,AFGELEID VAST-CONTRACTSCENARIO,4300,1.0,4300,1290,3010,1760,1584,176,397,123,0,0.0,0.0698,0.25055,-44,274,318,"CBS juni 2026 (tarief); 50%-ondergrens x kaal (vergoeding, scenario); 220x8 kWh doorzet; 90% rendement; 30% direct"
S8,Dynamisch contract zonder slim EMS,dynamisch,nee,DYNAMISCH — NIET GEKWANTIFICEERD MET BESCHIKBARE DATA,4300,1.0,4300,1290,3010,,,,,,,,,,n.v.t.,n.v.t.,NIET GEKWANTIFICEERD (kwartierdata + verrekenmethode + contractvoorwaarden nodig),"Prijssturing/handel kan waarde geven, maar dat is geen salderingseffect; incrementeel 2027-effect vergt contract-specifieke backtest"
S9,Dynamisch contract met slim EMS,dynamisch,ja,DYNAMISCH — NIET GEKWANTIFICEERD MET BESCHIKBARE DATA,4300,1.0,4300,1290,3010,,,,,,,,,,n.v.t.,n.v.t.,NIET GEKWANTIFICEERD (kwartierdata + verrekenmethode + contractvoorwaarden nodig),"Prijssturing/handel kan waarde geven, maar dat is geen salderingseffect; incrementeel 2027-effect vergt contract-specifieke backtest"
S10,Batterij vooral gereserveerd voor handel,dynamisch,ja,DYNAMISCH — NIET GEKWANTIFICEERD MET BESCHIKBARE DATA,4300,1.0,4300,1290,3010,,,,,,,,,,n.v.t.,n.v.t.,NIET GEKWANTIFICEERD (kwartierdata + verrekenmethode + contractvoorwaarden nodig),"Prijssturing/handel kan waarde geven, maar dat is geen salderingseffect; incrementeel 2027-effect vergt contract-specifieke backtest"
